7879	956f	3b91	be21
c9fa	29cf	9617	9b7d
b367	c80f	4c19	f288
21a7	81c4	5349	67ad
30cd	0033	0f28	c073
588c	f895	5df7	e2e4
0c02	28f6	c0ec	9472
66fe	5218	a6f9	8e1d
b578	8088	1248	764a
b236	d656	12f3	01cd
97c7	6c0b	e2d0	e642
4d2b	2ccc	b9e2	7876
28d2	7821	2215	7d20
1ceb	2657	dd08	da5f
56f3	abac	ab6d	e8b8
a350	2570	2d25	d916
50d4	0249	d664	34c2
dc99	5d89	5c3b	1ce2
1fc7	7567	f2a0	039b
c1f0	0593	4743	c11a
41f4	b916	b991	7771
0fdf	810e	c97d	13c1
c640	7fab	2074	9106
a9f4	1996	9c88	4679
99cc	39a8	c57f	ca7a
1514	812e	264f	5cbb
2893	4c51	f159	db68
3daf	a2eb	a36c	3db4
ed92	c736	dc6b	2cc1
603e	cc22	9513	4288
642d	5848	8d98	fab4
5fc1	90b1	6636	d500
f4ef	6e65	9e9b	3f96
3b34	b32c	6393	50a0
43e4	d626	259d	9013
a9a5	4173	8e56	79af
ebd7	76e4	dc9c	8fe7
74ce	7a53	e80c	5a34
ce4e	3b60	d705	0efa
acd9	69bd	966f	4016
ddd0	11de	ccc1	64ea
ca5f	f9a8	bff0	5079
36e6	a374	f1dd	36a7
ee9c	6419	199a	4d16
07e5	b0ea	5d48	dda7
d677	3e4f	eca2	1183
0537	7060	5002	ce55
88d7	9e55	957d	baca
0597	f22d	e6c0	189e
5e72	e37e	fce9	ad6d
8eda	ded7	e54c	7223
29cd	bcfa	0748	2e89
21d9	6e88	0faf	5c1f
d016	0f87	e7db	f101
3cc1	0aa0	66da	536e
8224	e46d	d8b5	a6a1
6c2b	8240	11a1	86f7
fb9f	c9d0	00d7	76ca
1b85	babf	83f7	8db7
1955	2969	ed06	60c2
d77c	b9c4	e246	d287
0efd	5ddf	5b77	ef3c
32d9	8b26	b410	a19c
617e	88ce	d56a	529a
ade8	37bf	15f8	e679
3f7d	3490	b4d7	bd05
8de8	6308	9cdc	3194
2cd9	113e	e131	d960
732a	30eb	cc1a	d962
a836	a423	cfd9	7a88
f1bb	9a63	bfd4	e9c8
2756	3352	22ee	c413
5626	ced2	3d7a	4be9
9f77	4e0c	af10	d661
f945	ce87	3caa	d448
eae3	39d2	8b8c	da60
a974	92ed	3ab0	1f39
a7e1	1b5d	3f88	0be3
3f54	fb34	af7b	34ec
d381	a7f6	de1f	8af6
d67c	047c	24dc	556b
1031	21f3	67e8	2701
36f7	7790	dd03	22ed
40b4	d174	a83b	8d6a
492f	1270	fc89	4a96
7113	3c25	852d	573c
a0f2	1393	575d	5cf7
9d05	e5c8	25d7	3bab
2d7b	7dce	fdbb	0796
9554	a8e2	c5d1	ff99
91bf	c8d5	f7e1	287a
5def	5972	7044	141c
e100	3f99	935f	19f6
e242	e879	ae68	eb93
a5cd	d616	531e	cb6a
37d8	f54b	a460	03c6
c901	e266	e138	6053
98d9	d917	a15e	44b2
a801	2820	de4d	f6dd
bc76	dc12	b08e	ea1b
